Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
166,24292.759986026947,18291.809167542942,2469.3581473774198,3531.5926711065827,25669.948236682772,49962.70822270972
167,14187.968110463866,10587.370584434415,1481.5180802066923,2119.0794458227583,15401.783235969691,29589.751346433557
168,27253.641398369888,20643.032197445704,2720.2980564687687,3890.311144455416,28277.747271922788,55531.388670292676
169,85187.32313945143,63754.29879303534,8819.6339117435,12613.390434672592,91676.93450734724,176864.25764679868
170,63502.937866126565,47690.861028383,6506.757154824716,9305.319682918856,67635.43388895312,131138.3717550797
171,55946.2536090728,42000.40515385186,5738.4878124467305,8207.360642774212,59652.71724540818,115598.97085448098
172,23884.272295320843,17940.121937403168,2445.90997212149,3498.2403857961863,25424.900565036154,49309.17286035699
173,44533.11884614612,33235.44905211173,4648.7064777214155,6648.963316312968,48325.982628898484,92859.1014750446
174,44555.3348599015,33353.42379948547,4609.655851576184,6592.255208839842,47916.37487764127,92471.70973754277
175,36861.65328834057,27545.845149132147,3833.4849207055368,5482.323218502881,39847.94298790714,76709.5962762477
176,23719.885686657548,17718.86563536311,2469.358147392791,3531.661903901648,25670.378838538698,49390.264525196246
177,78005.72361113441,58287.18564287614,8113.88684446036,11604.651123797918,84343.03751168374,162348.76112281816
178,30410.96309058454,22904.30509781798,3088.7945084734197,4417.863484293138,32107.215132254816,62518.17822283936
179,26259.555482293,19819.856154355813,2649.7656567139993,3789.9336712231834,27545.38534734829,53804.94082964129
180,33325.02803875851,25095.038354408545,3386.4820817180735,4843.507602631893,35203.26435854729,68528.2923973058
181,31433.144301151595,23678.887044108895,3190.8219665731585,4563.435290469542,33166.883249559345,64600.02755071094
182,56159.80896288967,42481.670797222774,5628.7578188748985,8049.3803467920025,58510.09798543771,114669.90694832738
183,39175.326190724736,29326.04816042294,4053.041093295942,5796.236937005858,42130.520987844815,81305.84717856956
184,22571.301833664667,17008.1146777577,2289.1930614522607,3273.9940944547043,23794.892667912736,46366.1945015774
185,49455.7560271101,37415.14655617601,4954.580840634413,7086.028630299678,51503.77863901204,100959.53466612214
186,29023.36110545259,22126.78844867054,2837.8345131601504,4058.738143621901,29498.988272726863,58522.34937817945
187,17461.79095365034,13213.252787635454,1748.2058929190864,2500.3322730957984,18173.191862419866,35634.9828160702
188,263694.5009634816,197397.85381935415,27281.229355942956,39015.417788184524,283586.77354305796,547281.2745065396
189,243083.86022338536,181969.045940259,25148.902963019947,35965.91132010641,261421.34114067678,504505.20136406214
190,774413.3261054123,579714.3908071733,80119.21524952145,114579.72004871762,832832.4135196122,1607245.7396250246
191,144804.6818315264,108398.66241290087,14981.16387405857,21424.855544566944,155728.28363961852,300532.9654711449
192,44631.14305542009,33410.14894687251,4617.535569897242,6603.458538650339,47997.81850525776,92628.96156067785
