Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,292,1,20,4,2023-01-20T02:40:00+08:00,12,9,178,361
,,,,,,,,,293,1,20,5,2023-01-20T03:40:00+08:00,12,9,178,361
,,,,,,,,,294,1,20,6,2023-01-20T04:40:00+08:00,12,9,178,361
,,,,,,,,,295,1,20,7,2023-01-20T05:40:00+08:00,20,15,297,602
,,,,,,,,,296,1,20,8,2023-01-20T06:40:00+08:00,20,15,297,602
,,,,,,,,,297,1,20,9,2023-01-20T07:40:00+08:00,20,15,297,602
,,,,,,,,,298,1,20,10,2023-01-20T08:40:00+08:00,20,15,297,602
,,,,,,,,,299,1,20,11,2023-01-20T09:40:00+08:00,20,15,297,602
,,,,,,,,,300,1,20,12,2023-01-20T10:40:00+08:00,20,15,297,602
,,,,,,,,,301,1,20,13,2023-01-20T11:40:00+08:00,20,15,297,602
,,,,,,,,,302,1,20,14,2023-01-20T12:40:00+08:00,20,15,297,602
,,,,,,,,,303,1,20,15,2023-01-20T13:40:00+08:00,20,15,297,602
,,,,,,,,,304,1,20,16,2023-01-20T14:40:00+08:00,20,15,297,602
,,,,,,,,,305,1,20,17,2023-01-20T15:40:00+08:00,20,15,297,602
,,,,,,,,,306,1,20,18,2023-01-20T16:40:00+08:00,20,15,297,602
,,,,,,,,,307,1,20,19,2023-01-20T17:40:00+08:00,16,12,237,481
